Name: Forge Way, Instruction: Head southwest on Forge Way, Distance: 150.5 meters, Time: 108.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: Te Horeta Cycleway, Instruction: Turn sharp right onto Te Horeta Cycleway, Distance: 435.8 meters, Time: 313.8 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn slight left, Distance: 121.8 meters, Time: 87.7 seconds
Name: Te Horeta Cycleway, Instruction: Turn right onto Te Horeta Cycleway, Distance: 19.1 meters, Time: 13.7 seconds
Name: Te Horeta Cycleway, Instruction: Turn left onto Te Horeta Cycleway, Distance: 81.3 meters, Time: 58.6 seconds
Name: Malone Road, Instruction: Turn right onto Malone Road, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Keep left, Distance: 297.8 meters, Time: 214.4 seconds
Name: Barrack Road, Instruction: Turn left onto Barrack Road, Distance: 42.5 meters, Time: 30.6 seconds
Name: Banks Road, Instruction: Turn right onto Banks Road, Distance: 282.8 meters, Time: 203.6 seconds
Name: -, Instruction: Arrive at Banks Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
