Name: Calle Crestón, Instruction: Head north on Calle Crestón, Distance: 13.7 meters, Time: 9.8 seconds
Name: Calle Nubes Sur, Instruction: Turn right onto Calle Nubes Sur, Distance: 212.0 meters, Time: 152.6 seconds
Name: Boulevard de la Luz, Instruction: Turn sharp left onto Boulevard de la Luz, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.9 seconds
Name: Boulevard de la Luz, Instruction: Turn right onto Boulevard de la Luz, Distance: 62.0 meters, Time: 44.6 seconds
Name: Calle Cráter, Instruction: Turn left onto Calle Cráter, Distance: 247.8 meters, Time: 178.4 seconds
Name: Calle Colegio, Instruction: Turn sharp right onto Calle Colegio, Distance: 757.7 meters, Time: 545.5 seconds
Name: Calle Valle, Instruction: Turn left onto Calle Valle, Distance: 669.9 meters, Time: 482.3 seconds
Name: Boulevard Cataratas, Instruction: Turn left onto Boulevard Cataratas, Distance: 81.4 meters, Time: 58.6 seconds
Name: Boulevard Cataratas, Instruction: Turn right onto Boulevard Cataratas, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Keep left, Distance: 25.9 meters, Time: 18.6 seconds
Name: Calle Llanura, Instruction: Turn left onto Calle Llanura, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn slight right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
