Name: Cross Lane, Instruction: Head southwest on Cross Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 579.3 meters, Time: 417.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 436.5 meters, Time: 314.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
