Name: Rohm Road, Instruction: Head east on Rohm Road, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Continue straight, Distance: 20.7 meters, Time: 14.9 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 151.9 meters, Time: 109.4 seconds
Name: Van Rensburg Road, Instruction: Turn left onto Van Rensburg Road, Distance: 21.7 meters, Time: 15.7 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 75.9 meters, Time: 54.6 seconds
Name: Smartt Road, Instruction: Turn left onto Smartt Road, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Keep right, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Keep right, Distance: 114.7 meters, Time: 82.6 seconds
Name: Alice Street, Instruction: Turn slight left onto Alice Street, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.6 seconds
Name: Olienhout, Instruction: Turn right onto Olienhout, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.9 meters, Time: 14.4 seconds
Name: Frans Conradie Drive, M25, Instruction: Turn left onto Frans Conradie Drive, M25, Distance: 118.5 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 63.6 meters, Time: 45.8 seconds
Name: Kasteel Crescent, Instruction: Turn left onto Kasteel Crescent, Distance: 106.6 meters, Time: 76.7 seconds
Name: Nassau Street, Instruction: Turn right onto Nassau Street, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Arrive at Nassau Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
