Name: Nautilus Drive, Instruction: Head west on Nautilus Drive, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 145.2 meters, Time: 104.5 seconds
Name: Skippers Cove, Instruction: Turn right onto Skippers Cove, Distance: 40.9 meters, Time: 29.4 seconds
Name: Trimaran Drive, Instruction: Turn left onto Trimaran Drive, Distance: 63.4 meters, Time: 45.7 seconds
Name: Trimaran Drive, Instruction: Turn right onto Trimaran Drive, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: Voyager Drive, Instruction: Turn right onto Voyager Drive, Distance: 6.9 meters, Time: 5.0 seconds
Name: Pinecrest Drive, Instruction: Turn left onto Pinecrest Drive, Distance: 69.9 meters, Time: 50.4 seconds
Name: Gulf Harbour Drive, Instruction: Turn right onto Gulf Harbour Drive, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 630.1 meters, Time: 453.7 seconds
Name: -, Instruction: Keep right, Distance: 236.6 meters, Time: 170.3 seconds
Name: -, Instruction: Keep right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
