Name: Lambrown Drive, Instruction: Head west on Lambrown Drive, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn left, Distance: 246.0 meters, Time: 177.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cheval Drive, Instruction: Turn left onto Cheval Drive, Distance: 57.5 meters, Time: 41.4 seconds
Name: Cheval Drive, Instruction: Keep right onto Cheval Drive, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Ellice Road, Instruction: Turn right onto Ellice Road, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Arrive at Ellice Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
