Name: Finsbury Avenue, Instruction: Head northeast on Finsbury Avenue, Distance: 37.3 meters, Time: 26.9 seconds
Name: Hibiscus Avenue, Instruction: Turn left onto Hibiscus Avenue, Distance: 206.5 meters, Time: 148.7 seconds
Name: Avenue La Caille, Instruction: Turn right onto Avenue La Caille, Distance: 182.5 meters, Time: 131.4 seconds
Name: Newlands Avenue, M63, Instruction: Turn right onto Newlands Avenue, M63, Distance: 147.3 meters, Time: 106.1 seconds
Name: Magnolia Road, Instruction: Turn left onto Magnolia Road, Distance: 57.9 meters, Time: 41.7 seconds
Name: Firdale Road, Instruction: Turn right onto Firdale Road, Distance: 215.2 meters, Time: 154.9 seconds
Name: Cypress Road, Instruction: Turn left onto Cypress Road, Distance: 161.6 meters, Time: 116.4 seconds
Name: Cypress Road, Instruction: Turn left onto Cypress Road, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep left, Distance: 79.9 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Keep right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Keep right, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn left, Distance: 303.7 meters, Time: 218.7 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
