Name: Maryvale Road, Instruction: Head south on Maryvale Road, Distance: 7.8 meters, Time: 5.6 seconds
Name: Lordland Road, Instruction: Turn left onto Lordland Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Carthey Road, Instruction: Turn right onto Carthey Road, Distance: 61.6 meters, Time: 44.3 seconds
Name: Snowden Road, Instruction: Turn left onto Snowden Road, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.1 seconds
Name: Siren Street, Instruction: Turn left onto Siren Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Ahutoetoe Road, Instruction: Turn right onto Ahutoetoe Road, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Continue straight, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Continue straight, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn slight left, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Keep right, Distance: 16.6 meters, Time: 12.0 seconds
Name: Highgate Bridge, Instruction: Turn slight left onto Highgate Bridge, Distance: 102.6 meters, Time: 73.9 seconds
Name: Highgate Parkway, Instruction: Turn left onto Highgate Parkway, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 240.9 meters, Time: 173.4 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Keep right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn slight left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: Fermier Greens, Instruction: Turn left onto Fermier Greens, Distance: 158.8 meters, Time: 114.3 seconds
Name: Colonial Drive, Instruction: Turn right onto Colonial Drive, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 279.3 meters, Time: 201.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
