Name: Gould Street, Instruction: Head east on Gould Street, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn left, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Bond Street, Instruction: Turn right onto Bond Street, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 107.4 meters, Time: 77.3 seconds
Name: Ditty Lane, Instruction: Turn left onto Ditty Lane, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Keep right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Keep right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 181.0 meters, Time: 130.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: George Street, Instruction: Turn right onto George Street, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Arrive at George Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
