Name: Junia Avenue, Instruction: Head south on Junia Avenue, Distance: 370.3 meters, Time: 266.6 seconds
Name: Octavia Street, Instruction: Turn right onto Octavia Street, Distance: 7.3 meters, Time: 5.3 seconds
Name: Girraween Creek Shared Path, Instruction: Turn left onto Girraween Creek Shared Path, Distance: 325.5 meters, Time: 234.3 seconds
Name: Girraween Creek Shared Path, Instruction: Turn right onto Girraween Creek Shared Path, Distance: 12.4 meters, Time: 8.9 seconds
Name: Girraween Creek Shared Path, Instruction: Turn left onto Girraween Creek Shared Path, Distance: 595.8 meters, Time: 429.0 seconds
Name: -, Instruction: Turn right, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: Memphis Crescent, Instruction: Turn right onto Memphis Crescent, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Continue straight, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 178.5 meters, Time: 128.5 seconds
Name: Claudia Road, Instruction: Turn right onto Claudia Road, Distance: 121.8 meters, Time: 87.7 seconds
Name: Valparaiso Avenue, Instruction: Turn left onto Valparaiso Avenue, Distance: 104.6 meters, Time: 75.3 seconds
Name: Valencia Crescent, Instruction: Turn right onto Valencia Crescent, Distance: 295.7 meters, Time: 212.9 seconds
Name: -, Instruction: Turn right, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 308.7 meters, Time: 222.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
