Name: Peter-Müller-Straße, Instruction: Head south on Peter-Müller-Straße, Distance: 327.8 meters, Time: 236.0 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 240.2 meters, Time: 172.9 seconds
Name: Thea-Knorr-Straße, Instruction: Turn left onto Thea-Knorr-Straße, Distance: 84.6 meters, Time: 60.9 seconds
Name: Am Kesselhaus, Instruction: Turn right onto Am Kesselhaus, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: Am Kesselhaus, Instruction: Turn left onto Am Kesselhaus, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: Georg-Reismüller-Straße, Instruction: Turn left onto Georg-Reismüller-Straße, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
