Name: Atlee Street, Instruction: Head southeast on Atlee Street, Distance: 68.7 meters, Time: 49.5 seconds
Name: Bartlett Street, Instruction: Turn left onto Bartlett Street, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 387.8 meters, Time: 279.2 seconds
Name: -, Instruction: Turn left, Distance: 372.2 meters, Time: 268.0 seconds
Name: -, Instruction: Turn right, Distance: 235.4 meters, Time: 169.5 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 244.4 meters, Time: 176.0 seconds
Name: Civic Way, Instruction: Turn right onto Civic Way, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
