Name: Boulevard Morland, Instruction: Head southeast on Boulevard Morland, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue de Brissac, Instruction: Turn left onto Rue de Brissac, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 191.9 meters, Time: 138.1 seconds
Name: -, Instruction: Keep right, Distance: 246.2 meters, Time: 177.2 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn slight right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Quai d'Austerlitz, Instruction: Turn left onto Quai d'Austerlitz, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn right, Distance: 184.4 meters, Time: 132.7 seconds
Name: Rue David Bowie, Instruction: Turn left onto Rue David Bowie, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 295.5 meters, Time: 212.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 306.8 meters, Time: 220.9 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 159.1 meters, Time: 114.6 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
