Name: 豊島園通り, Instruction: Head northwest on 豊島園通り, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn left, Distance: 260.2 meters, Time: 187.4 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn slight left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Keep right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Keep left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
