Name: Normandy Boulevard, Instruction: Head southeast on Normandy Boulevard, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 164.8 meters, Time: 118.6 seconds
Name: -, Instruction: Keep left, Distance: 302.9 meters, Time: 218.1 seconds
Name: -, Instruction: Keep left, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Keep left, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Keep left, Distance: 129.6 meters, Time: 93.3 seconds
Name: Kildonan Road, Instruction: Turn right onto Kildonan Road, Distance: 45.5 meters, Time: 32.8 seconds
Name: Norwood Park Trail, Instruction: Turn slight left onto Norwood Park Trail, Distance: 46.5 meters, Time: 33.5 seconds
Name: Norwood Park Trail, Instruction: Keep left onto Norwood Park Trail, Distance: 154.8 meters, Time: 111.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn slight left, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
