Name: Old Northern Road, Instruction: Head northwest on Old Northern Road, Distance: 163.2 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 163.5 meters, Time: 117.7 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 500.2 meters, Time: 360.1 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Castle Street, Instruction: Turn left onto Castle Street, Distance: 151.7 meters, Time: 109.2 seconds
Name: Castle Street, Instruction: Enter the roundabout and take the 1st exit onto Castle Street, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Continue straight, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
