Name: Arno-Assmann-Straße, Instruction: Head north on Arno-Assmann-Straße, Distance: 83.5 meters, Time: 60.1 seconds
Name: Elise-Aulinger-Straße, Instruction: Turn left onto Elise-Aulinger-Straße, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Keep right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Keep right, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn slight left, Distance: 410.3 meters, Time: 295.4 seconds
Name: -, Instruction: Keep left, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Keep right, Distance: 178.4 meters, Time: 128.5 seconds
Name: -, Instruction: Keep left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Keep right, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
