Name: Helendale Avenue, Instruction: Head east on Helendale Avenue, Distance: 6.4 meters, Time: 4.6 seconds
Name: Duplex Avenue, Instruction: Turn right onto Duplex Avenue, Distance: 1218.0 meters, Time: 877.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 873.5 meters, Time: 628.9 seconds
Name: -, Instruction: Keep left, Distance: 130.8 meters, Time: 94.2 seconds
Name: Delisle Avenue, Instruction: Turn right onto Delisle Avenue, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
