Name: Wettersteinstraße, Instruction: Head north on Wettersteinstraße, Distance: 155.4 meters, Time: 111.9 seconds
Name: Sollner Straße, Instruction: Turn left onto Sollner Straße, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: Bertelestraße, Instruction: Turn right onto Bertelestraße, Distance: 785.9 meters, Time: 565.9 seconds
Name: Stridbeckstraße, Instruction: Turn right onto Stridbeckstraße, Distance: 235.5 meters, Time: 169.6 seconds
Name: Herterichstraße, Instruction: Turn right onto Herterichstraße, Distance: 5.7 meters, Time: 4.1 seconds
Name: Stridbeckstraße, Instruction: Turn left onto Stridbeckstraße, Distance: 69.6 meters, Time: 50.1 seconds
Name: Diefenbachstraße, Instruction: Turn left onto Diefenbachstraße, Distance: 114.9 meters, Time: 82.7 seconds
Name: Grünbauerstraße, Instruction: Turn right onto Grünbauerstraße, Distance: 457.0 meters, Time: 329.0 seconds
Name: Breitschwertstraße, Instruction: Turn left onto Breitschwertstraße, Distance: 129.0 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
