Name: 12th Street, Instruction: Head southeast on 12th Street, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Continue straight, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 44.0 meters, Time: 31.7 seconds
Name: Lawrence Street Mall, Instruction: Turn slight left onto Lawrence Street Mall, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 143.7 meters, Time: 103.4 seconds
Name: -, Instruction: Continue straight, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 436.1 meters, Time: 313.9 seconds
Name: -, Instruction: Turn left, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.2 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
