Name: Lüdersstraße, Instruction: Head east on Lüdersstraße, Distance: 42.8 meters, Time: 30.8 seconds
Name: Theodor-Heuss-Platz, Instruction: Turn right onto Theodor-Heuss-Platz, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: Paul-Löbe-Straße, Instruction: Turn slight left onto Paul-Löbe-Straße, Distance: 144.6 meters, Time: 104.1 seconds
Name: Schumacherring, Instruction: Turn left onto Schumacherring, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Hans-Fried-Weg, Instruction: Turn right onto Hans-Fried-Weg, Distance: 169.9 meters, Time: 122.3 seconds
Name: Putzbrunner Straße, Instruction: Turn left onto Putzbrunner Straße, Distance: 279.2 meters, Time: 201.0 seconds
Name: Putzbrunner Straße, Instruction: Continue straight onto Putzbrunner Straße, Distance: 12.6 meters, Time: 9.1 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 419.3 meters, Time: 301.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep left, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn right, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Continue straight, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
