Name: Expo Drive, Instruction: Head southeast on Expo Drive, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 280.9 meters, Time: 202.2 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 219.4 meters, Time: 158.0 seconds
Name: Changi Business Park Crescent, Instruction: Turn left onto Changi Business Park Crescent, Distance: 6.3 meters, Time: 4.6 seconds
Name: Changi Business Park Avenue 3, Instruction: Turn right onto Changi Business Park Avenue 3, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Arrive at Changi Business Park Avenue 3, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
