Name: Travessa Lopes, Instruction: Head north on Travessa Lopes, Distance: 116.5 meters, Time: 83.9 seconds
Name: Avenida Salvador de Sá, Instruction: Turn right onto Avenida Salvador de Sá, Distance: 274.7 meters, Time: 197.8 seconds
Name: Rua Frei Caneca, Instruction: Continue straight onto Rua Frei Caneca, Distance: 336.6 meters, Time: 242.4 seconds
Name: Rua Moncorvo Filho, Instruction: Keep left onto Rua Moncorvo Filho, Distance: 181.6 meters, Time: 130.7 seconds
Name: Rua Moncorvo Filho, Instruction: Keep right onto Rua Moncorvo Filho, Distance: 228.1 meters, Time: 164.2 seconds
Name: Rua Moncorvo Filho, Instruction: Keep right onto Rua Moncorvo Filho, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Keep left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Continue straight, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Keep left, Distance: 99.0 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: Praça da República, Instruction: Turn right onto Praça da República, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rua Buenos Aires, Instruction: Turn left onto Rua Buenos Aires, Distance: 109.9 meters, Time: 79.1 seconds
Name: Rua República do Líbano, Instruction: Turn right onto Rua República do Líbano, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn left, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rua da Constituição, Instruction: Turn left onto Rua da Constituição, Distance: 6.8 meters, Time: 4.9 seconds
Name: Praça Tiradentes, Instruction: Continue straight onto Praça Tiradentes, Distance: 159.1 meters, Time: 114.6 seconds
Name: Avenida Passos, Instruction: Turn right onto Avenida Passos, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: Rua Silva Jardim, Instruction: Turn right onto Rua Silva Jardim, Distance: 26.4 meters, Time: 19.0 seconds
Name: Rua Gustavo de Lacerda, Instruction: Turn left onto Rua Gustavo de Lacerda, Distance: 76.2 meters, Time: 54.8 seconds
Name: Avenida República do Paraguai, Instruction: Turn right onto Avenida República do Paraguai, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
