Name: Avenue du Président Kennedy, Instruction: Head west on Avenue du Président Kennedy, Distance: 32.6 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 332.2 meters, Time: 239.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 195.7 meters, Time: 140.9 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn slight left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue de l'Yvette, Instruction: Turn right onto Rue de l'Yvette, Distance: 131.6 meters, Time: 94.8 seconds
Name: -, Instruction: Arrive at Rue de l'Yvette, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
