Name: Bechsteinstraße, Instruction: Head west on Bechsteinstraße, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 509.1 meters, Time: 366.5 seconds
Name: Mitterwieserstraße, Instruction: Turn right onto Mitterwieserstraße, Distance: 92.3 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Continue straight, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
