Name: حارة عونى, Instruction: Head southwest on حارة عونى, Distance: 21.3 meters, Time: 15.3 seconds
Name: شارع الوسط, Instruction: Turn left onto شارع الوسط, Distance: 204.0 meters, Time: 146.9 seconds
Name: شارع احمد ناصر, Instruction: Turn right onto شارع احمد ناصر, Distance: 32.1 meters, Time: 23.1 seconds
Name: شارع انور, Instruction: Turn left onto شارع انور, Distance: 60.6 meters, Time: 43.6 seconds
Name: شارع عمر بن الخطاب, Instruction: Turn right onto شارع عمر بن الخطاب, Distance: 5.7 meters, Time: 4.1 seconds
Name: شارع انور, Instruction: Turn left onto شارع انور, Distance: 77.5 meters, Time: 55.8 seconds
Name: شارع الجبلايه, Instruction: Turn right onto شارع الجبلايه, Distance: 241.9 meters, Time: 174.2 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: شارع رايل, Instruction: Turn left onto شارع رايل, Distance: 157.5 meters, Time: 113.4 seconds
Name: شارع مسجد عزام, Instruction: Turn right onto شارع مسجد عزام, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn slight left, Distance: 59.9 meters, Time: 43.1 seconds
Name: شارع ادهم, Instruction: Turn left onto شارع ادهم, Distance: 571.4 meters, Time: 411.4 seconds
Name: شارع محمد عبد المنعم, Instruction: Turn right onto شارع محمد عبد المنعم, Distance: 6.4 meters, Time: 4.6 seconds
Name: شارع ادهم, Instruction: Turn left onto شارع ادهم, Distance: 493.8 meters, Time: 355.5 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn slight right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 41.7 meters, Time: 30.0 seconds
Name: شارع الغربي, Instruction: Turn left onto شارع الغربي, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Arrive at شارع الغربي, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
