Name: Rue Édouard Vaillant, Instruction: Head southeast on Rue Édouard Vaillant, Distance: 48.6 meters, Time: 35.0 seconds
Name: Rue Collange, Instruction: Turn left onto Rue Collange, Distance: 94.8 meters, Time: 68.3 seconds
Name: Rue Collange, Instruction: Continue straight onto Rue Collange, Distance: 120.5 meters, Time: 86.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: Place du 11 Novembre 1918, Instruction: Turn right onto Place du 11 Novembre 1918, Distance: 58.8 meters, Time: 42.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue Baudin, Instruction: Turn left onto Rue Baudin, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn slight right, Distance: 205.2 meters, Time: 147.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
