Name: West 11th Avenue, Instruction: Head west on West 11th Avenue, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 88.3 meters, Time: 63.5 seconds
Name: Grove Street, Instruction: Turn right onto Grove Street, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Lakewood Gulch Trail, Instruction: Turn right onto Lakewood Gulch Trail, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Turn left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Keep right, Distance: 141.6 meters, Time: 101.9 seconds
Name: -, Instruction: Continue straight, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn slight right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: West 13th Avenue, Instruction: Turn left onto West 13th Avenue, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
