Name: Jubilee Avenue, Instruction: Head southwest on Jubilee Avenue, Distance: 206.6 meters, Time: 148.8 seconds
Name: Narrabeen Creek Path, Instruction: Turn left onto Narrabeen Creek Path, Distance: 293.7 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 358.7 meters, Time: 258.2 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 194.2 meters, Time: 139.9 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Hakea Drive, Instruction: Turn right onto Hakea Drive, Distance: 5.0 meters, Time: 3.6 seconds
Name: Hakea Drive, Instruction: Turn left onto Hakea Drive, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Arrive at Hakea Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
