Name: شارع السبع عمارات, Instruction: Head west on شارع السبع عمارات, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 62.1 meters, Time: 44.7 seconds
Name: شارع 3, Instruction: Turn right onto شارع 3, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Keep left, Distance: 197.0 meters, Time: 141.8 seconds
Name: شارع مدينة الخبراء, Instruction: Turn slight left onto شارع مدينة الخبراء, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: شارع مركز بحوث الفلزات, Instruction: Turn right onto شارع مركز بحوث الفلزات, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
