Name: St. Bede's Road, Instruction: Head west on St. Bede's Road, Distance: 254.4 meters, Time: 183.1 seconds
Name: Victoria Park Avenue, Instruction: Turn left onto Victoria Park Avenue, Distance: 54.2 meters, Time: 39.0 seconds
Name: Gower Street, Instruction: Turn right onto Gower Street, Distance: 511.1 meters, Time: 368.0 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Glen Albert Drive, Instruction: Turn left onto Glen Albert Drive, Distance: 231.3 meters, Time: 166.5 seconds
Name: Rexleigh Drive, Instruction: Turn right onto Rexleigh Drive, Distance: 422.4 meters, Time: 304.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Keep left, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Keep right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Glen Gannon Drive, Instruction: Turn left onto Glen Gannon Drive, Distance: 73.9 meters, Time: 53.2 seconds
Name: Stag Hill Drive, Instruction: Turn right onto Stag Hill Drive, Distance: 64.6 meters, Time: 46.5 seconds
Name: Leander Court, Instruction: Turn left onto Leander Court, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Arrive at Leander Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
