Name: Cloth Fair, Instruction: Head southwest on Cloth Fair, Distance: 73.2 meters, Time: 52.7 seconds
Name: Churchyard Path, Instruction: Turn left onto Churchyard Path, Distance: 36.1 meters, Time: 26.0 seconds
Name: Churchyard Path, Instruction: Turn right onto Churchyard Path, Distance: 27.8 meters, Time: 20.0 seconds
Name: Little Britain, Instruction: Turn right onto Little Britain, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: West Smithfield, Instruction: Turn left onto West Smithfield, Distance: 7.9 meters, Time: 5.7 seconds
Name: West Smithfield, Instruction: Turn slight left onto West Smithfield, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: West Smithfield, Instruction: Turn left onto West Smithfield, Distance: 52.5 meters, Time: 37.8 seconds
Name: Giltspur Street, Instruction: Continue straight onto Giltspur Street, Distance: 134.3 meters, Time: 96.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.5 meters, Time: 26.3 seconds
Name: Bishop's Court, Instruction: Turn right onto Bishop's Court, Distance: 65.0 meters, Time: 46.8 seconds
Name: Fleet Place, Instruction: Turn left onto Fleet Place, Distance: 8.9 meters, Time: 6.4 seconds
Name: Fleet Place, Instruction: Continue straight onto Fleet Place, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Farringdon Street, A201, Instruction: Turn sharp left onto Farringdon Street, A201, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 200.2 meters, Time: 144.1 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Fleet Street, Instruction: Turn left onto Fleet Street, Distance: 125.2 meters, Time: 90.2 seconds
Name: Hare Place, Instruction: Turn left onto Hare Place, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Continue straight, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: Church Court, Instruction: Continue straight onto Church Court, Distance: 55.1 meters, Time: 39.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.9 meters, Time: 23.0 seconds
Name: Elm Court, Instruction: Continue straight onto Elm Court, Distance: 57.5 meters, Time: 41.4 seconds
Name: Fountain Court, Instruction: Turn right onto Fountain Court, Distance: 57.6 meters, Time: 41.5 seconds
Name: Fountain Court, Instruction: Turn left onto Fountain Court, Distance: 47.7 meters, Time: 34.3 seconds
Name: Garden Court, Instruction: Keep right onto Garden Court, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
