Name: Avenue des Platanes, Instruction: Head south on Avenue des Platanes, Distance: 12.3 meters, Time: 8.9 seconds
Name: Avenue Centrale, Instruction: Turn left onto Avenue Centrale, Distance: 15.1 meters, Time: 10.9 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn right onto Avenue de la Porte de Charenton, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn slight left onto Avenue de la Porte de Charenton, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 325.3 meters, Time: 234.2 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.8 seconds
Name: Route de Reuilly, Instruction: Turn left onto Route de Reuilly, Distance: 7.1 meters, Time: 5.1 seconds
Name: Avenue Charles de Foucauld, Instruction: Turn right onto Avenue Charles de Foucauld, Distance: 90.9 meters, Time: 65.5 seconds
Name: Avenue Charles de Foucauld, Instruction: Turn right onto Avenue Charles de Foucauld, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn slight right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 209.0 meters, Time: 150.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.0 meters, Time: 7.9 seconds
Name: Avenue Armand Rousseau, Instruction: Turn left onto Avenue Armand Rousseau, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
