Name: Route des Lacs à Madrid, Instruction: Head southeast on Route des Lacs à Madrid, Distance: 290.4 meters, Time: 209.1 seconds
Name: -, Instruction: Keep right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Keep right, Distance: 173.8 meters, Time: 125.1 seconds
Name: -, Instruction: Turn right, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Keep left, Distance: 427.3 meters, Time: 307.7 seconds
Name: -, Instruction: Turn left, Distance: 356.7 meters, Time: 256.8 seconds
Name: -, Instruction: Turn slight left, Distance: 27.5 meters, Time: 19.8 seconds
Name: Chemin de Ceinture du Lac Inférieur, Instruction: Keep left onto Chemin de Ceinture du Lac Inférieur, Distance: 56.8 meters, Time: 40.9 seconds
Name: Avenue de l'Hippodrome, Instruction: Keep right onto Avenue de l'Hippodrome, Distance: 368.1 meters, Time: 265.1 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Route des Lacs à Passy, Instruction: Turn left onto Route des Lacs à Passy, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 249.3 meters, Time: 179.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
