Name: Lantana Road, Instruction: Head east on Lantana Road, Distance: 261.8 meters, Time: 188.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 549.3 meters, Time: 395.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 485.6 meters, Time: 349.6 seconds
Name: -, Instruction: Keep right, Distance: 264.1 meters, Time: 190.1 seconds
Name: -, Instruction: Turn left, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn slight right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 159.5 meters, Time: 114.8 seconds
Name: -, Instruction: Turn right, Distance: 214.2 meters, Time: 154.2 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: Margan Avenue Shared Path, Instruction: Continue straight onto Margan Avenue Shared Path, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Arrive at Margan Avenue Shared Path, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
