Name: Racecourse Parade, Instruction: Head northeast on Racecourse Parade, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 104.9 meters, Time: 75.6 seconds
Name: -, Instruction: Keep right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 295.7 meters, Time: 212.9 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Keep right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Keep right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Keep right, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
