Name: Rosa-Aschenbrenner-Bogen, Instruction: Head south on Rosa-Aschenbrenner-Bogen, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Continue straight, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn slight right, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Continue straight, Distance: 6.4 meters, Time: 4.6 seconds
Name: Adams-Lehmann-Straße, Instruction: Turn right onto Adams-Lehmann-Straße, Distance: 295.8 meters, Time: 213.0 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Turn left, Distance: 425.9 meters, Time: 306.7 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: Görresstraße, Instruction: Turn left onto Görresstraße, Distance: 8.3 meters, Time: 5.9 seconds
Name: Lothstraße, Instruction: Turn right onto Lothstraße, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Schellingstraße, Instruction: Turn left onto Schellingstraße, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
