Name: Rue de Seine, Instruction: Head south on Rue de Seine, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue des Canettes, Instruction: Turn left onto Rue des Canettes, Distance: 148.9 meters, Time: 107.2 seconds
Name: Place Saint-Sulpice, Instruction: Turn sharp right onto Place Saint-Sulpice, Distance: 8.6 meters, Time: 6.2 seconds
Name: Allée du Révérend Père Michel Riquet, Instruction: Turn sharp left onto Allée du Révérend Père Michel Riquet, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Arrive at Allée du Révérend Père Michel Riquet, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
