Name: Firkenweg, Instruction: Head east on Firkenweg, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Continue straight, Distance: 72.0 meters, Time: 51.8 seconds
Name: Moosangerweg, Instruction: Turn left onto Moosangerweg, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Continue straight, Distance: 29.3 meters, Time: 21.1 seconds
Name: Am Bahnhof, Instruction: Continue straight onto Am Bahnhof, Distance: 52.0 meters, Time: 37.4 seconds
Name: Am Bahnhof, Instruction: Turn left onto Am Bahnhof, Distance: 121.0 meters, Time: 87.1 seconds
Name: Bahnhofstraße, Instruction: Turn right onto Bahnhofstraße, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Tunnelweg, Instruction: Turn left onto Tunnelweg, Distance: 970.0 meters, Time: 698.4 seconds
Name: Tunnelweg, Instruction: Keep left onto Tunnelweg, Distance: 316.9 meters, Time: 228.1 seconds
Name: -, Instruction: Turn right, Distance: 193.3 meters, Time: 139.1 seconds
Name: Bauhofstraße, Instruction: Turn left onto Bauhofstraße, Distance: 60.1 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
