Name: Aries Street, Instruction: Head north on Aries Street, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 125.2 meters, Time: 90.2 seconds
Name: Gouritz Road, Instruction: Turn right onto Gouritz Road, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: Jordan Street, Instruction: Turn right onto Jordan Street, Distance: 128.4 meters, Time: 92.5 seconds
Name: Don Street, Instruction: Turn left onto Don Street, Distance: 64.2 meters, Time: 46.3 seconds
Name: Irvine Street, Instruction: Turn right onto Irvine Street, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 131.2 meters, Time: 94.5 seconds
Name: Irvine Street, Instruction: Turn left onto Irvine Street, Distance: 6.9 meters, Time: 5.0 seconds
Name: Great Fish Avenue, Instruction: Turn right onto Great Fish Avenue, Distance: 61.3 meters, Time: 44.1 seconds
Name: Great Fish Avenue, Instruction: Turn right onto Great Fish Avenue, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn left, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
