Name: Lim Chu Kang Road, Instruction: Head south on Lim Chu Kang Road, Distance: 467.6 meters, Time: 336.7 seconds
Name: -, Instruction: Keep left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Old Choa Chu Kang Road, Instruction: Turn right onto Old Choa Chu Kang Road, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn right, Distance: 746.0 meters, Time: 537.1 seconds
Name: Cemetery Central Street 12, Instruction: Turn right onto Cemetery Central Street 12, Distance: 120.0 meters, Time: 86.4 seconds
Name: Chinese Cemetery Path 4, Instruction: Turn right onto Chinese Cemetery Path 4, Distance: 854.9 meters, Time: 615.5 seconds
Name: Cemetery Central Street 32, Instruction: Turn left onto Cemetery Central Street 32, Distance: 109.9 meters, Time: 79.1 seconds
Name: Cemetery Central Street 31, Instruction: Turn right onto Cemetery Central Street 31, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 107.2 meters, Time: 77.2 seconds
Name: Cemetery Central Street 33, Instruction: Turn right onto Cemetery Central Street 33, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 241.0 meters, Time: 173.5 seconds
Name: Cemetery North Street 6, Instruction: Turn right onto Cemetery North Street 6, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Arrive at Cemetery North Street 6, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
