Name: Calle Río Lerma, Instruction: Head northeast on Calle Río Lerma, Distance: 78.7 meters, Time: 56.6 seconds
Name: Avenida Río Tíber, EJE 2 PTE, Instruction: Turn right onto Avenida Río Tíber, EJE 2 PTE, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Keep right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Calle Amberes, Instruction: Turn right onto Calle Amberes, Distance: 443.7 meters, Time: 319.5 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.1 seconds
Name: Glorieta de los Insurgentes, Instruction: Keep right onto Glorieta de los Insurgentes, Distance: 81.9 meters, Time: 59.0 seconds
Name: Jalapa, Instruction: Turn right onto Jalapa, Distance: 514.0 meters, Time: 370.1 seconds
Name: Calle Tabasco, Instruction: Turn left onto Calle Tabasco, Distance: 668.8 meters, Time: 481.5 seconds
Name: Calle Morelia, Instruction: Turn right onto Calle Morelia, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
