Name: Pope Close, Instruction: Head north on Pope Close, Distance: 5.5 meters, Time: 4.0 seconds
Name: North Road, Instruction: Turn left onto North Road, Distance: 122.0 meters, Time: 87.8 seconds
Name: Burns Close, Instruction: Turn left onto Burns Close, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 296.6 meters, Time: 213.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Keep right, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: All Saints Road, Instruction: Turn right onto All Saints Road, Distance: 20.6 meters, Time: 14.8 seconds
Name: Norman Road, Instruction: Turn left onto Norman Road, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: Gilbert Road, Instruction: Turn right onto Gilbert Road, Distance: 27.9 meters, Time: 20.1 seconds
Name: Hotham Road, Instruction: Turn left onto Hotham Road, Distance: 177.9 meters, Time: 128.1 seconds
Name: Merton High Street, A238, Instruction: Turn right onto Merton High Street, A238, Distance: 9.4 meters, Time: 6.8 seconds
Name: Abbey Road, Instruction: Turn left onto Abbey Road, Distance: 73.6 meters, Time: 53.0 seconds
Name: Hillborough Close, Instruction: Turn right onto Hillborough Close, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
