Name: Demblerstraße, Instruction: Head west on Demblerstraße, Distance: 87.7 meters, Time: 63.1 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Keep right, Distance: 60.7 meters, Time: 43.7 seconds
Name: Ständlerstraße, Instruction: Turn right onto Ständlerstraße, Distance: 16.2 meters, Time: 11.7 seconds
Name: Balanstraße, Instruction: Turn left onto Balanstraße, Distance: 26.8 meters, Time: 19.3 seconds
Name: Balanstraße, Instruction: Turn slight right onto Balanstraße, Distance: 6.3 meters, Time: 4.5 seconds
Name: Ständlerstraße, Instruction: Turn right onto Ständlerstraße, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Keep right, Distance: 725.7 meters, Time: 522.5 seconds
Name: Lauensteinstraße, Instruction: Turn right onto Lauensteinstraße, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Turn slight right, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Lincolnstraße, Instruction: Turn right onto Lincolnstraße, Distance: 306.6 meters, Time: 220.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
