Name: Ladies Mile, Instruction: Head southwest on Ladies Mile, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn left, Distance: 230.1 meters, Time: 165.7 seconds
Name: -, Instruction: Keep left, Distance: 327.6 meters, Time: 235.9 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Keep left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
