Name: Rue des Docteurs Déjérine, Instruction: Head north on Rue des Docteurs Déjérine, Distance: 83.7 meters, Time: 60.3 seconds
Name: Rue Mendelssohn, Instruction: Keep left onto Rue Mendelssohn, Distance: 207.5 meters, Time: 149.4 seconds
Name: Place Marie de Miribel, Instruction: Turn slight left onto Place Marie de Miribel, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 50.3 meters, Time: 36.2 seconds
Name: Rue Saint-Blaise, Instruction: Keep left onto Rue Saint-Blaise, Distance: 586.7 meters, Time: 422.4 seconds
Name: Place Saint-Blaise, Instruction: Continue straight onto Place Saint-Blaise, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Stendhal, Instruction: Keep left onto Rue Stendhal, Distance: 10.2 meters, Time: 7.4 seconds
Name: Rue Stendhal, Instruction: Keep right onto Rue Stendhal, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Stendhal, Instruction: Turn right onto Rue Stendhal, Distance: 17.6 meters, Time: 12.7 seconds
Name: Rue Stendhal, Instruction: Turn sharp right onto Rue Stendhal, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue de la Cour des Noues, Instruction: Turn left onto Rue de la Cour des Noues, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Avenue du Père Lachaise, Instruction: Turn right onto Avenue du Père Lachaise, Distance: 25.8 meters, Time: 18.6 seconds
Name: Place Gambetta, Instruction: Enter the roundabout and take the 1st exit onto Place Gambetta, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Arrive at Place Gambetta, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
