Name: Waterworth Drive, Instruction: Head west on Waterworth Drive, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 136.5 meters, Time: 98.3 seconds
Name: Ibis Way, Instruction: Turn left onto Ibis Way, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: The Waters, Instruction: Turn sharp right onto The Waters, Distance: 156.4 meters, Time: 112.6 seconds
Name: The Whitewater, Instruction: Turn right onto The Whitewater, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn slight right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: Brooks Bend, Instruction: Turn right onto Brooks Bend, Distance: 68.9 meters, Time: 49.6 seconds
Name: Brooks Bend, Instruction: Turn right onto Brooks Bend, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at Brooks Bend, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
