Name: Pioneer Road, Instruction: Head west on Pioneer Road, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 506.4 meters, Time: 364.6 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 699.7 meters, Time: 503.8 seconds
Name: -, Instruction: Keep right, Distance: 292.5 meters, Time: 210.6 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
