Name: Avenue Albert de Mun, Instruction: Head southeast on Avenue Albert de Mun, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn slight right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Keep right, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.4 meters, Time: 5.4 seconds
Name: Promenade Marie de Roumanie, Instruction: Turn left onto Promenade Marie de Roumanie, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: Quai Jacques Chirac, Instruction: Turn right onto Quai Jacques Chirac, Distance: 375.6 meters, Time: 270.5 seconds
Name: Quai Jacques Chirac, Instruction: Turn right onto Quai Jacques Chirac, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn slight right, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Quai de Grenelle, Instruction: Turn left onto Quai de Grenelle, Distance: 120.2 meters, Time: 86.6 seconds
Name: Place de Brazzaville, Instruction: Keep left onto Place de Brazzaville, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 127.6 meters, Time: 91.9 seconds
Name: -, Instruction: Turn slight right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
