Name: Rue Auguste Mie, Instruction: Head northeast on Rue Auguste Mie, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 153.9 meters, Time: 110.8 seconds
Name: -, Instruction: Keep left, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 319.2 meters, Time: 229.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn slight right, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Keep right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep left, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue Leclerc, Instruction: Keep left onto Rue Leclerc, Distance: 110.0 meters, Time: 79.2 seconds
Name: Rue Leclerc, Instruction: Keep right onto Rue Leclerc, Distance: 361.8 meters, Time: 260.5 seconds
Name: Rue Léon-Maurice Nordmann, Instruction: Turn slight left onto Rue Léon-Maurice Nordmann, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 216.5 meters, Time: 155.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Léon-Maurice Nordmann, Instruction: Turn right onto Rue Léon-Maurice Nordmann, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Arrive at Rue Léon-Maurice Nordmann, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
