Name: Milverton Boulevard, Instruction: Head west on Milverton Boulevard, Distance: 1252.0 meters, Time: 901.4 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 4.9 seconds
Name: Caithness Avenue, Instruction: Turn left onto Caithness Avenue, Distance: 83.2 meters, Time: 59.9 seconds
Name: Glebeholme Boulevard, Instruction: Turn right onto Glebeholme Boulevard, Distance: 366.5 meters, Time: 263.9 seconds
Name: -, Instruction: Turn left, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 42.2 meters, Time: 30.4 seconds
Name: Dew Lang Lane, Instruction: Turn left onto Dew Lang Lane, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 181.0 meters, Time: 130.3 seconds
Name: Dew Lang Lane, Instruction: Turn right onto Dew Lang Lane, Distance: 4.6 meters, Time: 3.3 seconds
Name: Langford Avenue, Instruction: Turn left onto Langford Avenue, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 98.9 meters, Time: 71.2 seconds
Name: Langford Park pathway, Instruction: Turn left onto Langford Park pathway, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Arrive at Langford Park pathway, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
