Name: Doig Road, Instruction: Head east on Doig Road, Distance: 431.1 meters, Time: 310.4 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Keep right, Distance: 242.2 meters, Time: 174.4 seconds
Name: -, Instruction: Turn right, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 107.2 meters, Time: 77.2 seconds
Name: Downberg Road, Instruction: Turn left onto Downberg Road, Distance: 251.6 meters, Time: 181.2 seconds
Name: Lonedown Road, Instruction: Turn right onto Lonedown Road, Distance: 247.9 meters, Time: 178.5 seconds
Name: -, Instruction: Turn left, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.4 seconds
Name: Caspian Place, Instruction: Turn left onto Caspian Place, Distance: 76.7 meters, Time: 55.3 seconds
Name: Athburg Walk, Instruction: Turn right onto Athburg Walk, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Arrive at Athburg Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
