Name: Overland Drive, Instruction: Head southwest on Overland Drive, Distance: 206.8 meters, Time: 148.9 seconds
Name: Ballymena Court, Instruction: Turn left onto Ballymena Court, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 870.1 meters, Time: 626.4 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 328.6 meters, Time: 236.6 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn slight right, Distance: 106.5 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
