Name: Eglinton Avenue West, Instruction: Head east on Eglinton Avenue West, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Keep left, Distance: 178.8 meters, Time: 128.8 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Scott Road, Instruction: Turn right onto Scott Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: Cameron Avenue, Instruction: Turn left onto Cameron Avenue, Distance: 392.1 meters, Time: 282.3 seconds
Name: Silverthorn Avenue, Instruction: Turn right onto Silverthorn Avenue, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 211.8 meters, Time: 152.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
