Name: Calle Río Lerma, Instruction: Head southwest on Calle Río Lerma, Distance: 71.9 meters, Time: 51.8 seconds
Name: Calle Río Guadalquivir, Instruction: Turn left onto Calle Río Guadalquivir, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 151.3 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
