Name: Prospect Street, Instruction: Head west on Prospect Street, Distance: 25.2 meters, Time: 18.2 seconds
Name: Flos Williams Lane, Instruction: Turn left onto Flos Williams Lane, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 131.6 meters, Time: 94.8 seconds
Name: -, Instruction: Turn slight right, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn slight left, Distance: 176.6 meters, Time: 127.1 seconds
Name: -, Instruction: Turn right, Distance: 209.7 meters, Time: 151.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: Horticultural Avenue, Instruction: Turn left onto Horticultural Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: Gerrard Street East, Instruction: Turn right onto Gerrard Street East, Distance: 11.3 meters, Time: 8.2 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Mutual Street, Instruction: Turn left onto Mutual Street, Distance: 96.0 meters, Time: 69.1 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 86.9 meters, Time: 62.6 seconds
Name: Victoria Street, Instruction: Continue straight onto Victoria Street, Distance: 6.0 meters, Time: 4.3 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 66.9 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Keep right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Dundas Square, Instruction: Turn right onto Dundas Square, Distance: 23.9 meters, Time: 17.2 seconds
Name: O'Keefe Lane, Instruction: Turn left onto O'Keefe Lane, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at O'Keefe Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
