Name: Edinburgh Road, Instruction: Head west on Edinburgh Road, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Keep right, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 425.3 meters, Time: 306.2 seconds
Name: -, Instruction: Turn left, Distance: 348.1 meters, Time: 250.6 seconds
Name: Bakers Lane, Instruction: Turn left onto Bakers Lane, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: Canal Road, Instruction: Turn slight right onto Canal Road, Distance: 542.6 meters, Time: 390.7 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 578.6 meters, Time: 416.6 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 66.9 seconds
Name: Ossary Street, Instruction: Turn left onto Ossary Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: Kent Road, Instruction: Turn right onto Kent Road, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Arrive at Kent Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
