Name: Rue de la Prévoyance, Instruction: Head south on Rue de la Prévoyance, Distance: 175.2 meters, Time: 126.1 seconds
Name: -, Instruction: Turn right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: Rue de l'Amiral Courbet, Instruction: Turn right onto Rue de l'Amiral Courbet, Distance: 323.7 meters, Time: 233.1 seconds
Name: -, Instruction: Turn right, Distance: 94.8 meters, Time: 68.2 seconds
Name: Boulevard Carnot, Instruction: Turn left onto Boulevard Carnot, Distance: 572.3 meters, Time: 412.0 seconds
Name: Avenue Émile Laurent, Instruction: Keep left onto Avenue Émile Laurent, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 377.8 meters, Time: 272.0 seconds
Name: -, Instruction: Turn right, Distance: 101.5 meters, Time: 73.0 seconds
Name: -, Instruction: Turn slight right, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 268.2 meters, Time: 193.1 seconds
Name: -, Instruction: Turn left, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
