Name: Parsley Road, Instruction: Head west on Parsley Road, Distance: 349.7 meters, Time: 251.8 seconds
Name: Fitzwilliam Road, Instruction: Turn left onto Fitzwilliam Road, Distance: 90.8 meters, Time: 65.4 seconds
Name: Boambillee Avenue, Instruction: Turn right onto Boambillee Avenue, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.7 seconds
Name: -, Instruction: Keep left, Distance: 14.6 meters, Time: 10.5 seconds
Name: Coolong Road, Instruction: Turn left onto Coolong Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: Wentworth Road, Instruction: Turn right onto Wentworth Road, Distance: 102.2 meters, Time: 73.6 seconds
Name: Olola Avenue, Instruction: Turn left onto Olola Avenue, Distance: 245.9 meters, Time: 177.1 seconds
Name: -, Instruction: Turn right, Distance: 131.0 meters, Time: 94.3 seconds
Name: Wentworth Road, Instruction: Turn left onto Wentworth Road, Distance: 111.6 meters, Time: 80.4 seconds
Name: Gilliver Avenue, Instruction: Turn right onto Gilliver Avenue, Distance: 79.1 meters, Time: 57.0 seconds
Name: Graylind Place, Instruction: Keep left onto Graylind Place, Distance: 162.6 meters, Time: 117.1 seconds
Name: -, Instruction: Turn right, Distance: 491.1 meters, Time: 353.6 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 259.9 meters, Time: 187.1 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
