Name: Langley Avenue, Instruction: Head east on Langley Avenue, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
