Name: Heather Street, Instruction: Head south on Heather Street, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Keep left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: Craighurst Avenue, Instruction: Turn right onto Craighurst Avenue, Distance: 3.7 meters, Time: 2.6 seconds
Name: Rosewell Avenue, Instruction: Turn left onto Rosewell Avenue, Distance: 122.6 meters, Time: 88.3 seconds
Name: Rosewell Avenue, Instruction: Turn right onto Rosewell Avenue, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 302.9 meters, Time: 218.1 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Edith Drive, Instruction: Turn right onto Edith Drive, Distance: 383.6 meters, Time: 276.2 seconds
Name: Colin Avenue, Instruction: Keep right onto Colin Avenue, Distance: 381.5 meters, Time: 274.7 seconds
Name: Tranmer Avenue, Instruction: Turn right onto Tranmer Avenue, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at Tranmer Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
