Name: 中央通り, Instruction: Head northwest on 中央通り, Distance: 23.8 meters, Time: 17.1 seconds
Name: 管理事務所正面通り, Instruction: Turn slight right onto 管理事務所正面通り, Distance: 5.0 meters, Time: 3.6 seconds
Name: 管理事務所正面通り, Instruction: Continue straight onto 管理事務所正面通り, Distance: 142.3 meters, Time: 102.5 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: 番神通り, Instruction: Turn right onto 番神通り, Distance: 206.9 meters, Time: 149.0 seconds
Name: -, Instruction: Turn left, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Turn slight left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Keep right, Distance: 304.5 meters, Time: 219.2 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 116.0 meters, Time: 83.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
