Name: Rue Paul Éluard, Instruction: Head west on Rue Paul Éluard, Distance: 501.8 meters, Time: 361.3 seconds
Name: Avenue de la Liberté, D 154, Instruction: Turn right onto Avenue de la Liberté, D 154, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Avenue de la Liberté, Instruction: Turn right onto Avenue de la Liberté, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: Avenue Winston Churchill, Instruction: Turn left onto Avenue Winston Churchill, Distance: 61.5 meters, Time: 44.3 seconds
Name: Rue Fragonard, Instruction: Turn right onto Rue Fragonard, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: Place de la Coupole, Instruction: Continue straight onto Place de la Coupole, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: Allée des Tilleuls, Instruction: Turn right onto Allée des Tilleuls, Distance: 98.0 meters, Time: 70.6 seconds
Name: Rue du Général Chanzy, Instruction: Turn right onto Rue du Général Chanzy, Distance: 105.6 meters, Time: 76.0 seconds
Name: Rue de Paris, D 6, Instruction: Turn left onto Rue de Paris, D 6, Distance: 49.7 meters, Time: 35.8 seconds
Name: Rue de Valmy, Instruction: Turn right onto Rue de Valmy, Distance: 101.5 meters, Time: 73.1 seconds
Name: Avenue de Gravelle, Instruction: Turn left onto Avenue de Gravelle, Distance: 15.1 meters, Time: 10.9 seconds
Name: Route de Reuilly, Instruction: Turn right onto Route de Reuilly, Distance: 11.5 meters, Time: 8.3 seconds
Name: Route de Reuilly, Instruction: Turn slight left onto Route de Reuilly, Distance: 434.7 meters, Time: 313.0 seconds
Name: Route de Reuilly, Instruction: Continue straight onto Route de Reuilly, Distance: 7.1 meters, Time: 5.1 seconds
Name: Place du Cardinal Lavigerie, Instruction: Turn slight left onto Place du Cardinal Lavigerie, Distance: 164.6 meters, Time: 118.5 seconds
Name: Boulevard Poniatowski, Instruction: Turn left onto Boulevard Poniatowski, Distance: 9.0 meters, Time: 6.5 seconds
Name: Rue Claude Decaen, Instruction: Turn right onto Rue Claude Decaen, Distance: 17.5 meters, Time: 12.6 seconds
Name: Boulevard Poniatowski, Instruction: Turn right onto Boulevard Poniatowski, Distance: 3.3 meters, Time: 2.3 seconds
Name: Rue Claude Decaen, Instruction: Turn left onto Rue Claude Decaen, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Rue Claude Decaen, Instruction: Turn left onto Rue Claude Decaen, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue de Wattignies, Instruction: Turn slight left onto Rue de Wattignies, Distance: 279.0 meters, Time: 200.9 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
