Name: Freeland Avenue, Instruction: Head northeast on Freeland Avenue, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Keep left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 264.6 meters, Time: 190.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: Glenarm Avenue, Instruction: Turn slight right onto Glenarm Avenue, Distance: 372.8 meters, Time: 268.4 seconds
Name: Denny Avenue, Instruction: Turn left onto Denny Avenue, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 360.6 meters, Time: 259.6 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
